"Pitch_ID","Velocity","Total_Spin","True_Spin","Spin_Efficiency","Horizontal_Break","Vertical_Break","Release_Height","Release_Horizontal_Extension","Pitch_Name"
82,73.2,1580,1479,93.6,16.3,8.7,5,2,"Curveball"
83,77.3,1447,1442,99.7,9,14,5.2,0.6,"Changeup"
84,78.9,1421,1406,98.9,8.9,14,5.3,0.6,"Changeup"
85,86.3,1952,1761,90.3,7.2,15.4,5.4,0.5,"Fastball"
86,79.6,1347,1205,89.4,6.9,12.8,5.4,0.5,"Changeup"
87,85.3,2047,1929,94.2,6,16.8,5.5,0.6,"Fastball"
88,84.8,2063,1881,91.2,7.5,15.8,5.3,0.4,"Fastball"
89,85.5,1965,1832,93.3,6.9,16.1,5.5,0.5,"Fastball"
90,83.8,1974,1786,90.4,7.4,15.3,5.2,0.5,"Fastball"
91,81.6,1632,1433,87.9,6.3,14.1,5.4,0.6,"Changeup"
92,81.7,1927,1863,96.7,6.3,17.2,5.4,0.6,"Fastball"
93,82.5,2058,1831,88.9,7.1,15.7,5.4,0.7,"Fastball"
94,84.6,1890,1719,91,6.9,15.7,5.5,0.6,"Fastball"
95,85.8,1695,1569,92.6,7.4,14.6,5.5,0.4,"Fastball"
96,86.1,1856,1698,91.5,6.7,14.8,5.2,0.5,"Fastball"
97,88,1889,1737,91.9,7.6,14.8,5.3,0.5,"Fastball"
